year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2006,64,Duke,1,70,Southern,16,54
2006,64,George Washington,8,88,UNC-Wilmington,9,85
2006,64,Texas A&M,12,66,Syracuse,5,58
2006,64,LSU,4,80,Iona,13,64
2006,64,West Virginia,6,64,Southern Illinois,11,46
2006,64,Northwestern State,14,64,Iowa,3,63
2006,64,NC State,10,58,California,7,52
2006,64,Texas,2,60,Pennsylvania,15,52
2006,32,Duke,1,74,George Washington,8,61
2006,32,LSU,4,58,Texas A&M,12,57
2006,32,West Virginia,6,67,Northwestern State,14,54
2006,32,Texas,2,75,NC State,10,54
2006,16,LSU,4,62,Duke,1,54
2006,16,Texas,2,74,West Virginia,6,71
2006,8,LSU,4,70,Texas,2,60
2006,64,Memphis,1,94,Oral Roberts,16,78
2006,64,Bucknell,9,59,Arkansas,8,55
2006,64,Pittsburgh,5,79,Kent State,12,64
2006,64,Bradley,13,77,Kansas,4,73
2006,64,Indiana,6,87,San Diego State,11,83
2006,64,Gonzaga,3,79,Xavier,14,75
2006,64,Alabama,10,90,Marquette,7,85
2006,64,UCLA,2,78,Belmont,15,44
2006,32,Memphis,1,72,Bucknell,9,56
2006,32,Bradley,13,72,Pittsburgh,5,66
2006,32,Gonzaga,3,90,Indiana,6,80
2006,32,UCLA,2,62,Alabama,10,59
2006,16,Memphis,1,80,Bradley,13,64
2006,16,UCLA,2,73,Gonzaga,3,71
2006,8,UCLA,2,50,Memphis,1,45
2006,64,Villanova,1,58,Monmouth,16,45
2006,64,Arizona,8,94,Wisconsin,9,75
2006,64,Montana,12,87,Nevada,5,79
2006,64,Boston College,4,88,Pacific,13,76
2006,64,UW–Milwaukee,11,82,Oklahoma,6,74
2006,64,Florida,3,76,South Alabama,14,50
2006,64,Georgetown,7,54,Northern Iowa,10,49
2006,64,Ohio State,2,70,Davidson,15,62
2006,32,Villanova,1,82,Arizona,8,78
2006,32,Boston College,4,69,Montana,12,56
2006,32,Florida,3,82,UW–Milwaukee,11,60
2006,32,Georgetown,7,70,Ohio State,2,52
2006,16,Villanova,1,60,Boston College,4,59
2006,16,Florida,3,57,Georgetown,7,53
2006,8,Florida,3,75,Villanova,1,62
2006,64,Connecticut,1,72,Albany,16,59
2006,64,Kentucky,8,69,UAB,9,64
2006,64,Washington,5,75,Utah State,12,61
2006,64,Illinois,4,78,Air Force,13,69
2006,64,George Mason,11,75,Michigan State,6,65
2006,64,North Carolina,3,69,Murray State,14,65
2006,64,Wichita State,7,86,Seton Hall,10,66
2006,64,Tennessee,2,63,Winthrop,15,61
2006,32,Connecticut,1,87,Kentucky,8,83
2006,32,Washington,5,67,Illinois,4,64
2006,32,George Mason,11,65,North Carolina,3,60
2006,32,Wichita State,7,80,Tennessee,2,73
2006,16,Connecticut,1,98,Washington,5,92
2006,16,George Mason,11,63,Wichita State,7,55
2006,8,George Mason,11,86,Connecticut,1,84
2006,4,UCLA,2,59,LSU,4,45
2006,4,Florida,3,73,George Mason,11,58
2006,2,Florida,3,73,UCLA,2,57
