year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2009,64,Louisville,1,74,Morehead State,16,54
2009,64,Siena,9,74,Ohio State,8,72
2009,64,Arizona,12,84,Utah,5,71
2009,64,Cleveland State,13,84,Wake Forest,4,69
2009,64,Dayton,11,68,West Virginia,6,60
2009,64,Kansas,3,84,North Dakota State,14,74
2009,64,USC,10,72,Boston College,7,55
2009,64,Michigan State,2,77,Robert Morris,15,62
2009,32,Louisville,1,79,Siena,9,72
2009,32,Arizona,12,71,Cleveland State,13,57
2009,32,Kansas,3,60,Dayton,11,43
2009,32,Michigan State,2,74,USC,10,69
2009,16,Louisville,1,103,Arizona,12,64
2009,16,Michigan State,2,67,Kansas,3,62
2009,8,Michigan State,2,64,Louisville,1,52
2009,64,Connecticut,1,103,Chattanooga,16,47
2009,64,Texas A&M,8,79,BYU,9,66
2009,64,Purdue,5,61,Northern Iowa,12,56
2009,64,Washington,4,71,Mississippi State,13,58
2009,64,Marquette,6,58,Utah State,11,57
2009,64,Missouri,3,78,Cornell,14,59
2009,64,Maryland,10,84,California,7,71
2009,64,Memphis,2,81,Cal State Northridge,15,70
2009,32,Connecticut,1,92,Texas A&M,8,66
2009,32,Purdue,5,76,Washington,4,74
2009,32,Missouri,3,83,Marquette,6,79
2009,32,Memphis,2,89,Maryland,10,70
2009,16,Connecticut,1,72,Purdue,5,60
2009,16,Missouri,3,102,Memphis,2,91
2009,8,Connecticut,1,82,Missouri,3,75
2009,64,Pittsburgh,1,72,East Tennessee State,16,62
2009,64,Oklahoma State,8,77,Tennessee,9,75
2009,64,Wisconsin,12,61,Florida St.,5,59
2009,64,Xavier,4,77,Portland St.,13,59
2009,64,UCLA,6,65,VCU,11,64
2009,64,Villanova,3,80,American,14,67
2009,64,Texas,7,76,Minnesota,10,62
2009,64,Duke,2,86,Binghamton,15,62
2009,32,Pittsburgh,1,84,Oklahoma State,8,76
2009,32,Xavier,4,60,Wisconsin,12,49
2009,32,Villanova,3,89,UCLA,6,69
2009,32,Duke,2,74,Texas,7,69
2009,16,Pittsburgh,1,60,Xavier,4,55
2009,16,Villanova,3,77,Duke,2,54
2009,8,Villanova,3,78,Pittsburgh,1,76
2009,64,North Carolina,1,101,Radford,16,58
2009,64,LSU,8,75,Butler,9,71
2009,64,Western Kentucky,12,76,Illinois,5,72
2009,64,Gonzaga,4,77,Akron,13,64
2009,64,Arizona State,6,66,Temple,11,57
2009,64,Syracuse,3,59,Stephen F. Austin,14,44
2009,64,Michigan,10,62,Clemson,7,59
2009,64,Oklahoma,2,82,Morgan State,15,54
2009,32,North Carolina,1,84,LSU,8,70
2009,32,Gonzaga,4,83,Western Kentucky,12,81
2009,32,Syracuse,3,78,Arizona State,6,67
2009,32,Oklahoma,2,73,Michigan,10,63
2009,16,North Carolina,1,98,Gonzaga,4,77
2009,16,Oklahoma,2,84,Syracuse,3,71
2009,8,North Carolina,1,72,Oklahoma,2,60
2009,4,Michigan State,2,82,Connecticut,1,73
2009,4,North Carolina,1,83,Villanova,3,69
2009,2,North Carolina,1,89,Michigan State,2,72
