year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2008,64,North Carolina,1,113,Mount St. Mary's,16,74
2008,64,Arkansas,9,86,Indiana,8,72
2008,64,Notre Dame,5,68,George Mason,12,50
2008,64,Washington St.,4,71,Winthrop,13,40
2008,64,Oklahoma,6,72,Saint Joseph's,11,64
2008,64,Louisville,3,79,Boise State,14,61
2008,64,Butler,7,81,South Alabama,10,61
2008,64,Tennessee,2,72,American,15,57
2008,32,North Carolina,1,108,Arkansas,9,77
2008,32,Washington State,4,61,Notre Dame,5,41
2008,32,Louisville,3,78,Oklahoma,6,48
2008,32,Tennessee,2,76,Butler,7,71
2008,16,North Carolina,1,68,Washington State,4,47
2008,16,Louisville,3,79,Tennessee,2,60
2008,8,North Carolina,1,83,Louisville,3,73
2008,64,Kansas,1,85,Portland State,16,61
2008,64,UNLV,8,71,Kent State,9,58
2008,64,Villanova,12,75,Clemson,5,69
2008,64,Siena,13,83,Vanderbilt,4,62
2008,64,Kansas State,11,80,,6,67
2008,64,Wisconsin,3,71,Cal State Fullerton,14,56
2008,64,Davidson,10,82,Gonzaga,7,76
2008,64,Georgetown,2,66,UMBC,15,47
2008,32,Kansas,1,75,UNLV,8,56
2008,32,Villanova,12,84,Siena,13,72
2008,32,Wisconsin,3,72,Kansas State,11,55
2008,32,Davidson ,10,74,Georgetown,2,70
2008,16,Kansas,1,72,Villanova,12,57
2008,16,Davidson,10,73,Wisconsin,3,56
2008,8,Kansas,1,59,Davidson,10,57
2008,64,,1,87,Texas–Arlington,16,63
2008,64,Mississippi State,8,76,Oregon,9,69
2008,64,Michigan State,5,72,Temple,12,61
2008,64,Pittsburgh,4,82,Oral Roberts,13,63
2008,64,Marquette,6,74,Kentucky,11,66
2008,64,Stanford,3,77,Cornell,14,53
2008,64,Miami (FL),7,78,Saint Mary's (CA),10,64
2008,64,Texas,2,74,Austin Peay,15,54
2008,32,,1,77,Mississippi State,8,74
2008,32,Michigan State,5,65,Pittsburgh,4,54
2008,32,Stanford,3,82,Marquette,6,81
2008,32,Texas,2,75,Miami (FL),7,72
2008,16,,1,92,Michigan State,5,74
2008,16,Texas,2,82,Stanford,3,62
2008,8,,1,85,Texas,2,67
2008,64,UCLA,1,70,Mississippi Valley State,16,29
2008,64,Texas A&M,9,67,BYU,8,62
2008,64,Western Kentucky,12,101,Drake,5,99
2008,64,San Diego,13,70,Connecticut,4,69
2008,64,Purdue,6,90,Baylor,11,79
2008,64,Xavier,3,73,Georgia,14,61
2008,64,West Virginia,7,75,Arizona,10,65
2008,64,Duke,2,71,Belmont,15,70
2008,32,UCLA,1,51,Texas A&M,9,49
2008,32,Western Kentucky,12,72,San Diego,13,63
2008,32,Xavier,3,85,Purdue,6,78
2008,32,West Virginia,7,73,Duke,2,67
2008,16,UCLA,1,88,Western Kentucky,12,78
2008,16,Xavier,3,79,West Virginia,7,75
2008,8,UCLA,1,76,Xavier,3,57
2008,4,Kansas,1,84,North Carolina,1,66
2008,4,,1,78,UCLA,1,63
2008,2,Kansas,1,75,,1,68
