year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2005,64,Illinois,1,67,Fairleigh Dickinson,16,55
2005,64,Nevada,9,61,Texas,8,57
2005,64,UW–Milwaukee,12,83,Alabama,5,73
2005,64,Boston College,4,85,Pennsylvania,13,65
2005,64,UAB,11,82,LSU,6,68
2005,64,Arizona,3,66,Utah State,14,53
2005,64,Southern Illinois,7,65,St. Mary's,10,56
2005,64,Oklahoma State,2,63,Southeastern Louisiana,15,50
2005,32,Illinois,1,71,Nevada,9,59
2005,32,UW–Milwaukee,12,83,Boston College,4,75
2005,32,Arizona,3,85,UAB,11,63
2005,32,Oklahoma State,2,85,Southern Illinois,7,77
2005,16,Illinois,1,77,UW–Milwaukee,12,63
2005,16,Arizona,3,79,Oklahoma State,2,78
2005,8,Illinois,1,90,Arizona,3,89
2005,64,Washington,1,88,Montana,16,77
2005,64,Pacific,8,79,Pittsburgh,9,71
2005,64,Georgia Tech,5,80,George Washington,12,68
2005,64,Louisville,4,68,Louisiana-Lafayette,13,62
2005,64,Texas Tech,6,78,UCLA,11,66
2005,64,Gonzaga,3,74,Winthrop,14,64
2005,64,West Virginia,7,63,Creighton,10,61
2005,64,Wake Forest,2,70,UT-Chattanooga,15,54
2005,32,Washington,1,97,Pacific,8,79
2005,32,Louisville,4,76,Georgia Tech,5,54
2005,32,Texas Tech,6,71,Gonzaga,3,69
2005,32,West Virginia,7,111,Wake Forest,2,105
2005,16,Louisville,4,93,Washington,1,79
2005,16,West Virginia,7,65,Texas Tech,6,60
2005,8,Louisville,4,93,West Virginia,7,85
2005,64,North Carolina,1,96,Oakland,16,68
2005,64,Iowa State,9,64,Minnesota,8,53
2005,64,Villanova,5,55,New Mexico,12,47
2005,64,Florida,4,67,Ohio,13,62
2005,64,Wisconsin,6,57,Northern Iowa,11,52
2005,64,Bucknell,14,64,Kansas,3,63
2005,64,NC State,10,75,Charlotte,7,63
2005,64,Connecticut,2,77,UCF,15,71
2005,32,North Carolina,1,92,Iowa State,9,65
2005,32,Villanova,5,76,Florida,4,65
2005,32,Wisconsin,6,71,Bucknell,14,62
2005,32,NC State,10,65,Connecticut,2,62
2005,16,North Carolina,1,67,Villanova,5,66
2005,16,Wisconsin,6,65,NC State,10,56
2005,8,North Carolina,1,88,Wisconsin,6,82
2005,64,Duke,1,57,Delaware State,16,46
2005,64,Mississippi State,9,93,Stanford,8,70
2005,64,Michigan State,5,89,Old Dominion,12,81
2005,64,Vermont,13,60,Syracuse,4,57
2005,64,Utah,6,60,UTEP,11,54
2005,64,Oklahoma,3,84,Niagara,14,67
2005,64,Cincinnati,7,76,Iowa,10,64
2005,64,Kentucky,2,72,Eastern Kentucky,15,64
2005,32,Duke,1,63,Mississippi State,9,55
2005,32,Michigan State,5,72,Vermont,13,61
2005,32,Utah,6,67,Oklahoma,3,58
2005,32,Kentucky,2,69,Cincinnati,7,60
2005,16,Michigan State,5,78,Duke,1,68
2005,16,Kentucky,2,62,Utah,6,52
2005,8,Michigan State,5,94,Kentucky,2,88
2005,4,Illinois,1,72,Louisville,4,57
2005,4,North Carolina,1,87,Michigan State,5,71
2005,2,North Carolina,1,75,Illinois,1,70
